toyokumo_id,nest_level,prefectures_name,zone_name,region_name,city_name
358,2,東京都,伊豆諸島,八丈島,八丈町、青ヶ島村
359,2,東京都,小笠原,小笠原,小笠原村
360,2,神奈川県,神奈川,神奈川県東部,横浜市、川崎市、横須賀市、平塚市、鎌倉市、藤沢市、茅ヶ崎市、逗子市、三浦市、大和市、海老名市、座間市、綾瀬市、三浦郡［葉山町］、高座郡［寒川町］、中郡［大磯町、二宮町］
361,2,神奈川県,神奈川,神奈川県西部,小田原市、相模原市、秦野市、厚木市、伊勢原市、南足柄市、足柄上郡［中井町、大井町、松田町、山北町、開成町］、足柄下郡［箱根町、真鶴町、湯河原町］、愛甲郡［愛川町、清川村］
370,2,新潟県,新潟,新潟県上越,糸魚川市、妙高市、上越市
371,2,新潟県,新潟,新潟県中越,長岡市、三条市、柏崎市、小千谷市、加茂市、十日町市、見附市、魚沼市、南魚沼市、南蒲原郡［田上町］、三島郡［出雲崎町］、南魚沼郡［湯沢町］、中魚沼郡［津南町］、刈羽郡［刈羽村］
372,2,新潟県,新潟,新潟県下越,新潟市、新発田市、村上市、燕市、五泉市、阿賀野市、胎内市、北蒲原郡［聖籠町］、西蒲原郡［弥彦村］、東蒲原郡［阿賀町］、岩船郡［関川村、粟島浦村］
375,2,新潟県,新潟,新潟県佐渡,佐渡市
380,2,富山県,富山,富山県東部,富山市、魚津市、滑川市、黒部市、中新川郡［舟橋村、上市町、立山町］、下新川郡［入善町、朝日町］
381,2,富山県,富山,富山県西部,高岡市、氷見市、砺波市、小矢部市、南砺市、射水市
390,2,石川県,石川,石川県能登,七尾市、輪島市、珠洲市、羽咋市、羽咋郡［志賀町、宝達志水町］、鹿島郡［中能登町］、鳳珠郡［穴水町、能登町］
391,2,石川県,石川,石川県加賀,金沢市、小松市、加賀市、かほく市、白山市、能美市、野々市市、能美郡［川北町］、河北郡［津幡町、内灘町］
400,2,福井県,福井,福井県嶺北,福井市、大野市、勝山市、鯖江市、あわら市、越前市、坂井市、吉田郡［永平寺町］、今立郡［池田町］、南条郡［南越前町］、丹生郡［越前町］
401,2,福井県,福井,福井県嶺南,敦賀市、小浜市、三方郡［美浜町］、大飯郡［高浜町、おおい町］、三方上中郡［若狭町］
